Variable,Spec 1,Spec 2,Spec 3,Spec 4,Spec 5,Spec 6,Spec 7
const,19.157***,7.629*,23.635***,5.630***,3.592***,17.575,31.945***
,(2.896),(3.474),(5.279),(1.063),(0.636),(13.518),(7.303)
log_gdp_pc,-1.846***,-0.517,5.011**,,,-1.583,1.479
,(0.387),(0.420),(1.639),,,(2.050),(2.753)
literacy_rate_pct,,,,-0.035**,,-0.051,
,,,,(0.015),,(0.040),
patent_stock_index,,,,,-0.007,0.073,0.061
,,,,,(0.014),(0.046),(0.040)
log_population,,,-8.234***,,,,-5.690*
,,,(2.400),,,,(2.786)
---,---,---,---,---,---,---,---
R²,0.545,0.121,0.596,0.323,0.023,0.604,0.681
Adj. R²,0.521,0.041,0.516,0.261,-0.065,0.472,0.575
N,21,13,13,13,13,13,13
Sample,All,Post-1450,Post-1450,Post-1450,Post-1450,Post-1450,Post-1450
